"","CatchId","Stage","Discharge (m3s-1)"
"2274",17595273,9.7536,4742.72866132
"2275",17595273,10.0584,5141.97594933
"2276",17595273,10.3632,5581.89258723
"2277",17595273,10.668,6030.93468465
"2278",17595273,10.9728,6508.29487594
"2279",17595273,11.2776,7011.18669172
"2280",17595273,11.5824,7528.34133347
"2281",17595273,11.8872,8079.87223269
"2282",17595273,12.192,8651.50660998
"2283",17595273,12.4968,9259.49121833
"2284",17595273,12.8016,9898.39257714
"2285",17595273,13.1064,10532.1637826
"2286",17595273,13.4112,11201.6200628
"2287",17595273,13.716,11910.7202124
"2288",17595273,14.0208,12657.8143051
"2289",17595273,14.3256,13445.6381461
"2290",17595273,14.6304,14236.2645023
"2291",17595273,14.9352,15055.5572703
"2292",17595273,15.24,15910.6626175
"2293",17595273,15.5448,16824.2750377
"2294",17595273,15.8496,17850.9420467
"2295",17595273,16.1544,18869.2621561
"2296",17595273,16.4592,19979.794428
"2297",17595273,16.764,21141.5341268
"2298",17595273,17.0688,22384.4759957
"2299",17595273,17.3736,23596.4275527
"2300",17595273,17.6784,24795.1810697
"2301",17595273,17.9832,26108.4281005
"2302",17595273,18.288,27472.8935092
"2303",17595273,18.5928,28855.1976644
"2304",17595273,18.8976,30289.8070894
"2305",17595273,19.2024,31690.5515136
"2306",17595273,19.5072,33188.9883932
"2307",17595273,19.812,34740.6938718
"2308",17595273,20.1168,36272.4854774
"2309",17595273,20.4216,37867.4318577
"2310",17595273,20.7264,39473.5655072
"2311",17595273,21.0312,41057.592455
"2312",17595273,21.336,42766.7947227
"2313",17595273,21.6408,44549.6031944
"2314",17595273,21.9456,46381.2599402
"2315",17595273,22.2504,48218.9223968
"2316",17595273,22.5552,50022.6041734
"2317",17595273,22.86,51995.170684
"2318",17595273,23.1648,53933.3783788
"2319",17595273,23.4696,55934.790343
"2320",17595273,23.7744,57967.2329945
"2321",17595273,24.0792,60132.3339867
"2322",17595273,24.384,62179.2710362
"2323",17595273,24.6888,64277.0867767
"2324",17595273,24.9936,66514.3058402
"2325",17595277,0,0
"2326",17595277,0.3048,3.58419861691
"2327",17595277,0.6096,11.7274450926
"2328",17595277,0.9144,26.4989718767
"2329",17595277,1.2192,49.2758002388
"2330",17595277,1.524,80.3579391521
"2331",17595277,1.8288,119.886243044
"2332",17595277,2.1336,171.578640431
"2333",17595277,2.4384,229.476736166
"2334",17595277,2.7432,302.804979603
"2335",17595277,3.048,388.23421191
"2336",17595277,3.3528,480.152104405
"2337",17595277,3.6576,588.076995673
"2338",17595277,3.9624,700.815416854
"2339",17595277,4.2672,834.66538444
"2340",17595277,4.572,983.430609328
"2341",17595277,4.8768,1145.11482968
"2342",17595277,5.1816,1326.81973283
